,restaurant_url,response
0,https://www.yelp.com/biz/j%C5%AB-ni-san-francisco-5,<Response [200]>
1,https://www.yelp.com/biz/the-fine-mousse-san-francisco,<Response [200]>
2,https://www.yelp.com/biz/starboard-sf-san-francisco,<Response [200]>
3,https://www.yelp.com/biz/brasserie-saint-james-san-francisco-2,<Response [200]>
4,https://www.yelp.com/biz/matador-san-francisco-2,<Response [200]>
5,https://www.yelp.com/biz/gold-dust-lounge-san-francisco-3,<Response [200]>
6,https://www.yelp.com/biz/hogwash-san-francisco,<Response [200]>
7,https://www.yelp.com/biz/the-house-san-francisco,<Response [200]>
8,https://www.yelp.com/biz/the-spice-jar-san-francisco,<Response [200]>
9,https://www.yelp.com/biz/marlowe-san-francisco-2,<Response [200]>
10,https://www.yelp.com/biz/the-codmother-fish-and-chips-san-francisco,<Response [200]>
11,https://www.yelp.com/biz/chez-maman-san-francisco-9,<Response [200]>
12,https://www.yelp.com/biz/the-chairman-san-francisco-2,<Response [200]>
13,https://www.yelp.com/biz/so-san-francisco-4,<Response [200]>
14,https://www.yelp.com/biz/fog-harbor-fish-house-san-francisco-2,<Response [200]>
15,https://www.yelp.com/biz/rove-kitchen-san-francisco,<Response [200]>
16,https://www.yelp.com/biz/state-bird-provisions-san-francisco,<Response [200]>
17,https://www.yelp.com/biz/gary-danko-san-francisco,<Response [200]>
18,https://www.yelp.com/biz/causwells-san-francisco-5,<Response [200]>
19,https://www.yelp.com/biz/la-fusi%C3%B3n-san-francisco-2,<Response [200]>
20,https://www.yelp.com/biz/lol%C3%B3-san-francisco-4,<Response [200]>
21,https://www.yelp.com/biz/nopa-san-francisco,<Response [200]>
22,https://www.yelp.com/biz/ikes-place-san-francisco,<Response [200]>
23,https://www.yelp.com/biz/the-italian-homemade-company-san-francisco-4,<Response [200]>
24,https://www.yelp.com/biz/hopwater-distribution-san-francisco,<Response [200]>
25,https://www.yelp.com/biz/lord-george-san-francisco,<Response [200]>
26,https://www.yelp.com/biz/brew-bros-cafe-san-francisco-2,<Response [200]>
27,https://www.yelp.com/biz/birba-san-francisco,<Response [200]>
28,https://www.yelp.com/biz/mensho-tokyo-san-francisco-2,<Response [200]>
29,https://www.yelp.com/biz/hrd-san-francisco-2,<Response [200]>
30,https://www.yelp.com/biz/stones-throw-san-francisco-2?search_key=87727,<Response [200]>
31,https://www.yelp.com/biz/kitchen-story-san-francisco?search_key=87727,<Response [200]>
32,https://www.yelp.com/biz/ijji-sushi-san-francisco?search_key=87727,<Response [200]>
33,https://www.yelp.com/biz/garaje-san-francisco?search_key=87727,<Response [200]>
34,https://www.yelp.com/biz/the-italian-homemade-company-san-francisco-6?search_key=87727,<Response [200]>
35,https://www.yelp.com/biz/red-hill-station-san-francisco?search_key=87727,<Response [200]>
36,https://www.yelp.com/biz/firefly-restaurant-san-francisco-4?search_key=87727,<Response [200]>
37,https://www.yelp.com/biz/old-skool-cafe-san-francisco?search_key=87727,<Response [200]>
38,https://www.yelp.com/biz/fat-angel-san-francisco?search_key=87727,<Response [200]>
39,https://www.yelp.com/biz/frances-san-francisco?search_key=87727,<Response [200]>
40,https://www.yelp.com/biz/20-spot-san-francisco,<Response [200]>
41,https://www.yelp.com/biz/bacon-bacon-san-francisco-5,<Response [200]>
42,https://www.yelp.com/biz/the-flying-falafel-san-francisco-3,<Response [200]>
43,https://www.yelp.com/biz/zazie-san-francisco,<Response [200]>
44,https://www.yelp.com/biz/street-taco-san-francisco,<Response [200]>
45,https://www.yelp.com/biz/paprika-san-francisco,<Response [200]>
46,https://www.yelp.com/biz/pianofight-san-francisco,<Response [200]>
47,https://www.yelp.com/biz/rustys-southern-san-francisco,<Response [200]>
48,https://www.yelp.com/biz/bite-san-francisco,<Response [200]>
49,https://www.yelp.com/biz/beretta-san-francisco,<Response [200]>
50,https://www.yelp.com/biz/j%C5%AB-ni-san-francisco-5?start=20,<Response [200]>
51,https://www.yelp.com/biz/the-fine-mousse-san-francisco?start=20,<Response [200]>
52,https://www.yelp.com/biz/starboard-sf-san-francisco?start=20,<Response [200]>
53,https://www.yelp.com/biz/brasserie-saint-james-san-francisco-2?start=20,<Response [200]>
54,https://www.yelp.com/biz/matador-san-francisco-2?start=20,<Response [200]>
55,https://www.yelp.com/biz/gold-dust-lounge-san-francisco-3?start=20,<Response [200]>
56,https://www.yelp.com/biz/hogwash-san-francisco?start=20,<Response [200]>
57,https://www.yelp.com/biz/the-house-san-francisco?start=20,<Response [200]>
58,https://www.yelp.com/biz/the-spice-jar-san-francisco?start=20,<Response [200]>
59,https://www.yelp.com/biz/marlowe-san-francisco-2?start=20,<Response [200]>
60,https://www.yelp.com/biz/the-codmother-fish-and-chips-san-francisco?start=20,<Response [200]>
61,https://www.yelp.com/biz/chez-maman-san-francisco-9?start=20,<Response [200]>
62,https://www.yelp.com/biz/the-chairman-san-francisco-2?start=20,<Response [200]>
63,https://www.yelp.com/biz/so-san-francisco-4?start=20,<Response [200]>
64,https://www.yelp.com/biz/fog-harbor-fish-house-san-francisco-2?start=20,<Response [200]>
65,https://www.yelp.com/biz/rove-kitchen-san-francisco?start=20,<Response [200]>
66,https://www.yelp.com/biz/state-bird-provisions-san-francisco?start=20,<Response [200]>
67,https://www.yelp.com/biz/gary-danko-san-francisco?start=20,<Response [200]>
68,https://www.yelp.com/biz/causwells-san-francisco-5?start=20,<Response [200]>
69,https://www.yelp.com/biz/la-fusi%C3%B3n-san-francisco-2?start=20,<Response [200]>
70,https://www.yelp.com/biz/lol%C3%B3-san-francisco-4?start=20,<Response [200]>
71,https://www.yelp.com/biz/nopa-san-francisco?start=20,<Response [200]>
72,https://www.yelp.com/biz/ikes-place-san-francisco?start=20,<Response [200]>
73,https://www.yelp.com/biz/the-italian-homemade-company-san-francisco-4?start=20,<Response [200]>
74,https://www.yelp.com/biz/hopwater-distribution-san-francisco?start=20,<Response [200]>
75,https://www.yelp.com/biz/lord-george-san-francisco?start=20,<Response [200]>
76,https://www.yelp.com/biz/brew-bros-cafe-san-francisco-2?start=20,<Response [200]>
77,https://www.yelp.com/biz/birba-san-francisco?start=20,<Response [200]>
78,https://www.yelp.com/biz/mensho-tokyo-san-francisco-2?start=20,<Response [200]>
79,https://www.yelp.com/biz/hrd-san-francisco-2?start=20,<Response [200]>
80,https://www.yelp.com/biz/stones-throw-san-francisco-2?search_key=87727?start=20,<Response [200]>
81,https://www.yelp.com/biz/kitchen-story-san-francisco?search_key=87727?start=20,<Response [200]>
82,https://www.yelp.com/biz/ijji-sushi-san-francisco?search_key=87727?start=20,<Response [200]>
83,https://www.yelp.com/biz/garaje-san-francisco?search_key=87727?start=20,<Response [200]>
84,https://www.yelp.com/biz/the-italian-homemade-company-san-francisco-6?search_key=87727?start=20,<Response [200]>
85,https://www.yelp.com/biz/red-hill-station-san-francisco?search_key=87727?start=20,<Response [200]>
86,https://www.yelp.com/biz/firefly-restaurant-san-francisco-4?search_key=87727?start=20,<Response [200]>
87,https://www.yelp.com/biz/old-skool-cafe-san-francisco?search_key=87727?start=20,<Response [200]>
88,https://www.yelp.com/biz/fat-angel-san-francisco?search_key=87727?start=20,<Response [200]>
89,https://www.yelp.com/biz/frances-san-francisco?search_key=87727?start=20,<Response [200]>
90,https://www.yelp.com/biz/20-spot-san-francisco?start=20,<Response [200]>
91,https://www.yelp.com/biz/bacon-bacon-san-francisco-5?start=20,<Response [200]>
92,https://www.yelp.com/biz/the-flying-falafel-san-francisco-3?start=20,<Response [200]>
93,https://www.yelp.com/biz/zazie-san-francisco?start=20,<Response [200]>
94,https://www.yelp.com/biz/street-taco-san-francisco?start=20,<Response [200]>
95,https://www.yelp.com/biz/paprika-san-francisco?start=20,<Response [200]>
96,https://www.yelp.com/biz/pianofight-san-francisco?start=20,<Response [200]>
97,https://www.yelp.com/biz/rustys-southern-san-francisco?start=20,<Response [200]>
98,https://www.yelp.com/biz/bite-san-francisco?start=20,<Response [200]>
99,https://www.yelp.com/biz/beretta-san-francisco?start=20,<Response [200]>
